,frequency,flux
0,3308006762.932,2141.12101700902
1,2412004956.341,2305.537902891636
2,2156004440.172,6632.768267989159
3,2796005730.594,2921.424724072218
4,3564007279.101,1190.869443565607
5,3436007021.016,836.761524155736
6,2284004698.256,4243.828798294067
7,2028004182.087,6590.068715214729
8,2924005988.678,2302.982895165682
9,3692007537.185,253.05214561149478
10,3052006246.763,3074.26355189085
11,2668005472.509,3115.4489394426346
12,3820007795.269,-871.7437545135617
13,3180006504.847,690.4328120797873
14,2540005214.425,2368.0737680494785
15,3948008053.354,125.008445315063
