,frequency,flux
0,3308006762.932,2646.5825838446617
1,2412004956.341,4624.154703497887
2,2156004440.172,2114.4124444127083
3,2796005730.594,2332.712189733982
4,3564007279.101,2071.283797234297
5,3436007021.016,888.7071307227015
6,2284004698.256,-1571.9412769675255
7,2028004182.087,11566.08847796917
8,2924005988.678,3038.652232736349
9,3692007537.185,739.4994023144245
10,3052006246.763,1237.348236054182
11,2668005472.509,1822.289835780859
12,3820007795.269,802.5194394886494
13,3180006504.847,1624.9787394404411
14,2540005214.425,4955.8893917799
15,3948008053.354,977.7363152951002
