,frequency,flux
0,3308006762.932,6451.352934837341
1,2412004956.341,17333.243387937546
2,2156004440.172,23178.419305086136
3,2796005730.594,12489.795789718628
4,3564007279.101,5578.265732526779
5,3436007021.016,9829.790025949478
6,2284004698.256,22296.655522584915
7,2028004182.087,28612.587884664536
8,2924005988.678,10409.093616604805
9,3692007537.185,4701.558450460434
10,3052006246.763,8933.495359420776
11,2668005472.509,15331.806541085243
12,3820007795.269,3189.6481995284557
13,3180006504.847,7363.466488420963
14,2540005214.425,20183.99533033371
15,3948008053.354,1694.52014580369
