,frequency,flux
0,3308006762.932,4992.005175292492
1,2412004956.341,7075.198062479496
2,2156004440.172,15010.163123607635
3,2796005730.594,6614.052315592766
4,3564007279.101,4102.652696847916
5,3436007021.016,5366.198937475681
6,2284004698.256,8391.347571492195
7,2028004182.087,15742.038344144821
8,2924005988.678,4973.620597720146
9,3692007537.185,2946.1520587801933
10,3052006246.763,4989.257334113121
11,2668005472.509,7526.641942203045
12,3820007795.269,1482.8005808591843
13,3180006504.847,3716.1530494987965
14,2540005214.425,7741.350534617901
15,3948008053.354,1895.523753553629
