,frequency,flux
0,3308006762.932,934.6133885383606
1,2412004956.341,4508.429039001465
2,2156004440.172,10026.685482025146
3,2796005730.594,4893.480932235718
4,3564007279.101,2486.9040241241455
5,3436007021.016,3206.3342895507812
6,2284004698.256,5040.085200309753
7,2028004182.087,9339.297843933105
8,2924005988.678,4441.252370834351
9,3692007537.185,1383.22784781456
10,3052006246.763,1134.971821308136
11,2668005472.509,6426.227344512939
12,3820007795.269,997.5590298175812
13,3180006504.847,3218.0176973342896
14,2540005214.425,8487.904211044312
15,3948008053.354,1023.4489154815674
