,frequency,flux
0,3308006762.932,1180.5997874736786
1,2412004956.341,2353.413680076599
2,2156004440.172,638.2975182533264
3,2796005730.594,1536.590075969696
4,3564007279.101,1142.4988887310028
5,3436007021.016,1892.5496938228607
6,2284004698.256,1811.535297870636
7,2028004182.087,4138.122935295105
8,2924005988.678,1026.6174738407135
9,3692007537.185,2190.987808704376
10,3052006246.763,1299.2447209358215
11,2668005472.509,2592.275710105896
12,3820007795.269,541.7982522249222
13,3180006504.847,2558.67941570282
14,2540005214.425,4323.335221290588
15,3948008053.354,458.6766250729561
