,frequency,flux
0,3308006762.932,570.3898114338517
1,2412004956.341,3866.8868397176266
2,2156004440.172,1877.4261736869812
3,2796005730.594,1008.8058979064226
4,3564007279.101,15.896175722591579
5,3436007021.016,806.7055348306894
6,2284004698.256,2757.4602116644382
7,2028004182.087,5810.875989198685
8,2924005988.678,1273.3600108325481
9,3692007537.185,-101.97000081185251
10,3052006246.763,414.58838161081076
11,2668005472.509,1813.0010909587145
12,3820007795.269,-271.1965051293373
13,3180006504.847,78.01164774224162
14,2540005214.425,2389.94603484869
15,3948008053.354,971.613113284111
