,frequency,flux
0,3308006762.932,1154.6465681642294
1,2412004956.341,2321.5908780395985
2,2156004440.172,3951.6014727950096
3,2796005730.594,393.0211602896452
4,3564007279.101,-638.5631521195173
5,3436007021.016,329.7052028775215
6,2284004698.256,2207.7961616814137
7,2028004182.087,3225.816120684147
8,2924005988.678,1073.4452204406261
9,3692007537.185,-501.8305239081383
10,3052006246.763,1101.9044312238693
11,2668005472.509,1757.5802983939648
12,3820007795.269,348.54274606332183
13,3180006504.847,573.585585989058
14,2540005214.425,2973.8605614304543
15,3948008053.354,146.50206132233143
