,frequency,flux
0,3308006762.932,18068.060980319977
1,2412004956.341,49195.93584728241
2,2156004440.172,66053.98481082916
3,2796005730.594,31220.499331474304
4,3564007279.101,12635.29225897789
5,3436007021.016,26394.32604789734
6,2284004698.256,53372.668286800385
7,2028004182.087,81266.18526268005
8,2924005988.678,26565.189706087112
9,3692007537.185,9668.832689642906
10,3052006246.763,23416.040189027786
11,2668005472.509,37804.05419111252
12,3820007795.269,3515.807033240795
13,3180006504.847,21858.80703997612
14,2540005214.425,45922.193766117096
15,3948008053.354,3524.769077539444
