,frequency,flux
0,3308006762.932,-213.54949575662613
1,2412004956.341,3938.128276348114
2,2156004440.172,12218.277274131775
3,2796005730.594,3520.91072845459
4,3564007279.101,-357.54168355464935
5,3436007021.016,1186.9798657894135
6,2284004698.256,1828.9559633731842
7,2028004182.087,10534.935925483704
8,2924005988.678,93.06185773015022
9,3692007537.185,-704.4114384055138
10,3052006246.763,-1540.0412957668304
11,2668005472.509,-767.4712618589401
12,3820007795.269,1081.8454080820084
13,3180006504.847,1669.390009045601
14,2540005214.425,2749.648248910904
15,3948008053.354,287.72221568226814
