,frequency,flux
0,3308006762.932,7105.080195367336
1,2412004956.341,21541.93072628975
2,2156004440.172,25732.25041937828
3,2796005730.594,14045.516530752182
4,3564007279.101,6624.305021941662
5,3436007021.016,11251.668397903442
6,2284004698.256,23386.063001155853
7,2028004182.087,30562.5956094265
8,2924005988.678,12363.023587226868
9,3692007537.185,5872.526424109936
10,3052006246.763,9344.048474788666
11,2668005472.509,15875.927469015121
12,3820007795.269,3763.065555244684
13,3180006504.847,9388.862513780594
14,2540005214.425,20739.810581207275
15,3948008053.354,3636.6170115470886
