,frequency,flux
0,3308006762.932,1916.8777450919151
1,2412004956.341,7035.707251667976
2,2156004440.172,8580.64832353592
3,2796005730.594,4471.85048353672
4,3564007279.101,2341.3199583292007
5,3436007021.016,4102.546366810799
6,2284004698.256,11193.728538036346
7,2028004182.087,10878.966816186905
8,2924005988.678,3024.6452075242996
9,3692007537.185,2587.4727684259415
10,3052006246.763,3194.635281443596
11,2668005472.509,5024.090944290161
12,3820007795.269,1792.161697626114
13,3180006504.847,2400.1574907302856
14,2540005214.425,6438.764123082161
15,3948008053.354,1768.2285359501839
