,frequency,flux
0,3308006762.932,254.7543396949768
1,2412004956.341,1335.328732252121
2,2156004440.172,3098.720602989197
3,2796005730.594,2736.796949863434
4,3564007279.101,872.1488198041916
5,3436007021.016,1125.6722950935364
6,2284004698.256,-914.3412057161331
7,2028004182.087,2600.3896169662476
8,2924005988.678,1364.1015412807465
9,3692007537.185,572.9519577026367
10,3052006246.763,802.6491430997849
11,2668005472.509,1901.9909839630127
12,3820007795.269,328.95856523513794
13,3180006504.847,531.1746790409088
14,2540005214.425,1844.8542687892914
15,3948008053.354,-83.27581444382668
