,frequency,flux
0,3308006762.932,2617.2478823661804
1,2412004956.341,7318.9464356303215
2,2156004440.172,8494.551960110664
3,2796005730.594,4524.0245525836945
4,3564007279.101,3486.0571252405643
5,3436007021.016,3199.160429120064
6,2284004698.256,8250.003232240677
7,2028004182.087,9313.331016898155
8,2924005988.678,4330.60818707943
9,3692007537.185,1695.3909911960363
10,3052006246.763,2880.773383587599
11,2668005472.509,3780.399072468281
12,3820007795.269,567.1334446594119
13,3180006504.847,2960.7524645626545
14,2540005214.425,6887.548505187035
15,3948008053.354,651.0748107209802
