,frequency,flux
0,3308006762.932,264.16100829839706
1,2412004956.341,689.1279629468918
2,2156004440.172,1626.6929326057434
3,2796005730.594,-741.6035598516464
4,3564007279.101,-294.77095371484756
5,3436007021.016,62.251366794109344
6,2284004698.256,-158.0738739669323
7,2028004182.087,2020.8120980262756
8,2924005988.678,-162.42036938667297
9,3692007537.185,263.473347902298
10,3052006246.763,312.50698459148407
11,2668005472.509,594.6759623289108
12,3820007795.269,36.52915267646313
13,3180006504.847,-233.20396953821182
14,2540005214.425,392.1074287891388
15,3948008053.354,-193.26575881242752
