,frequency,flux
0,3308006762.932,4446.872824668884
1,2412004956.341,14498.021305084229
2,2156004440.172,17595.261756896973
3,2796005730.594,8549.836433410645
4,3564007279.101,3891.6136136054993
5,3436007021.016,7311.345573425293
6,2284004698.256,14535.317743301392
7,2028004182.087,20780.26988220215
8,2924005988.678,5988.9595012664795
9,3692007537.185,2835.651475429535
10,3052006246.763,6304.020987510681
11,2668005472.509,8551.789989471436
12,3820007795.269,2269.5013766288757
13,3180006504.847,5339.927492141724
14,2540005214.425,10998.619892120361
15,3948008053.354,2525.41277217865
