,frequency,flux
0,3308006762.932,3324.939316511154
1,2412004956.341,3317.035725414753
2,2156004440.172,2435.0982427597046
3,2796005730.594,1913.6860807985067
4,3564007279.101,1841.1626380681992
5,3436007021.016,1687.5859513878822
6,2284004698.256,-2937.602955698967
7,2028004182.087,11883.245152831078
8,2924005988.678,2940.109668970108
9,3692007537.185,498.8426127284765
10,3052006246.763,1415.4490776360035
11,2668005472.509,1521.458609253168
12,3820007795.269,128.31520936451852
13,3180006504.847,1517.949140444398
14,2540005214.425,3891.846521794796
15,3948008053.354,984.325646981597
