,frequency,flux
0,3308006762.932,2809.25978448987
1,2412004956.341,23657.198448181152
2,2156004440.172,46419.60547685623
3,2796005730.594,7662.952544748783
4,3564007279.101,1741.3981169909239
5,3436007021.016,1775.1698651313782
6,2284004698.256,31391.902719974518
7,2028004182.087,60370.45799970627
8,2924005988.678,4642.722574234009
9,3692007537.185,1303.2567235082388
10,3052006246.763,5755.653922796249
11,2668005472.509,11968.786832928658
12,3820007795.269,979.985917404294
13,3180006504.847,2954.0401479303837
14,2540005214.425,19197.633729219437
15,3948008053.354,857.1538376659155
